,date,text
0,Thu Jan 21 14:43:41 +0000 2021,#Awaria pojazdu w #Radom na rondzie Łaskiego (#DK12/#DW735). Występują duże #utrudnienia w ruchu. #mazowieckie
1,Thu Jan 21 14:43:41 +0000 2021,#Awaria pojazdu w #Radom na rondzie Łaskiego (#DK12/#DW735). Występują duże #utrudnienia w ruchu. #mazowieckie
2,Thu Jan 21 13:30:12 +0000 2021,"🇵🇱 @1910radomiak związał się umową o współpracy z Uniwersytetem Technologiczno-Humanistycznym w @RadomCity. Jaki jest zakres kooperacji? 

#Radom #1liga #Radomiak #piłkarskibiz #sportsbiz #edukacja 
https://t.co/Wzu5VnDL64"
3,Thu Jan 21 10:10:04 +0000 2021,"Ponad 100 zakażeń w regionie #radom.skim. 9 osób zmarło. Przedstawiamy najnowsze dane na temat #koronawirus.a.

https://t.co/mI9gq4ikA5 https://t.co/qUFgdqaO57"
4,Thu Jan 21 10:09:59 +0000 2021,"W Komendzie Wojewódzkiej Policji w #Radom.iu odbyło się ślubowanie policjantów. Przysięgę złożyło 15 nowych funkcjonariuszy.

https://t.co/uAQH3UE4hs"
5,Thu Jan 21 07:45:14 +0000 2021,"Mocna Rozmowa: Magdalena Lasota [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct była Magdalena Lasota; radna KO.

https://t.co/WD5oM7K9e5

#radom #radom24"
6,Thu Jan 21 07:35:31 +0000 2021,"''Kopciuchy'' policzone. ''Inwentaryzacja pokazała skalę problemu w naszym mieście'': https://t.co/RTI518x7tc

#radom #radom24 https://t.co/rqLrttvLdp"
7,Wed Jan 20 20:34:12 +0000 2021,"Czasowe wstrzymanie unijnego dofinasowania remontu kolejowej „ósemki’ nie wpłynie na remont wiaduktu u zbiegu ulic Kozienickiej i Struga w #Radom.iu. @PKP_PLK_SA rozpoczęcie robót zapowiada na koniec stycznia – dowiedziało się RDC

Więcej: https://t.co/X7lam1Ngkn

#kolejowaósemka https://t.co/JRZRbou7YD"
8,Wed Jan 20 20:28:22 +0000 2021,"Czasowe wstrzymanie unijnego dofinasowania remontu kolejowej „ósemki’ nie wpłynie na remont wiaduktu u zbiegu ulic Kozienickiej i Struga w #Radom.iu. @PKP_PLK_SA rozpoczęcie robót zapowiada na koniec stycznia – dowiedziało się RDC

Więcej: https://t.co/X7lam1Ngkn

#kolejowaósemka https://t.co/JRZRbou7YD"
9,Wed Jan 20 16:04:25 +0000 2021,"#Kopciuch.y w #Radom.iu policzone. 

https://t.co/NaLlF3Lwgv https://t.co/Hfu2UqqPR1"
10,Wed Jan 20 14:42:53 +0000 2021,"Mazowiecki Szpital Specjalistyczny w Radomiu przystąpił do wykonywania operacji bariatrycznych; które są jedną ze skuteczniejszych metod leczenia osób cierpiących na otyłość olbrzymią

Więcej: https://t.co/6JqGf54II3

#otyłość #szpital #Radom https://t.co/118b9PxBmF"
11,Wed Jan 20 13:36:19 +0000 2021,"Radomiak i UTH rozpoczęli współpracę [ZDJĘCIA]

https://t.co/Kez45vAWp7

#radom #radom24 https://t.co/wWdYadjK16"
12,Wed Jan 20 13:32:30 +0000 2021,"Więcej o zdarzeniu tutaj: https://t.co/gGlE0tKeBn

#wypadek #Owadów #Radom https://t.co/qkyhZ3lIkK"
13,Wed Jan 20 13:28:56 +0000 2021,Przed południem w #Owadów (pow. #radom.ski) doszło do zderzenia opla i ciężarówki. Sam. osob. uderzył jeszcze w drzewo. Zginął 21-letni kierowca opla. Apelujemy o ostrożność i dostosowanie prędkości do warunków na drodze! https://t.co/Pm9iH1zHdF
14,Wed Jan 20 12:54:45 +0000 2021,"Uniwersytet Technologiczno-Humanistyczny w #Radom.iu podpisał umowę o współpracy z @1910radomiak. Współpraca ma dotyczyć wykorzystywania sprzętu i wymiany doświadczeń.

https://t.co/AhyAGAHvzv"
15,Wed Jan 20 12:52:59 +0000 2021,"Uniwersytet Technologiczno-Humanistyczny w #Radom.iu podpisał umowę o współpracy z @1910radomiak. Współpraca ma dotyczyć wykorzystywania sprzętu i wymiany doświadczeń.

https://t.co/AhyAGAHvzv"
16,Wed Jan 20 12:51:14 +0000 2021,Przed południem w #Owadów (pow. #radom.ski) doszło do zderzenia opla i ciężarówki. Sam. osob. uderzył jeszcze w drzewo. Zginął 21-letni kierowca opla. Apelujemy o ostrożność i dostosowanie prędkości do warunków na drodze! https://t.co/Pm9iH1zHdF
17,Wed Jan 20 12:17:28 +0000 2021,"Tragiczny wypadek koło Radomia. Przed południem w rejonie miejscowości Owadów auto osobowe zderzyło się z ciężarówką. Zginął 21-letni kierowca osobowego opla

#wypadek #Radom @PolicjaMazowsze @Kw_PSP_Wwa 
https://t.co/DGQhRU44zJ"
18,Wed Jan 20 12:06:55 +0000 2021,"Puste sale bez wyposażenia - tak wygląda szpital tymczasowy w Radomiu. Jego organizacja zaczęła się w listopadzie; ale spółka @totalizator_sp; która finansuje przedsięwzięcie; nie podpisała jeszcze umowy z miastem

#szpital #Radom #koronawirus #COVID19
https://t.co/RE9IyKehaN"
19,Wed Jan 20 12:01:40 +0000 2021,"Puste sale bez wyposażenia - tak wygląda szpital tymczasowy w Radomiu. Jego organizacja zaczęła się w listopadzie; ale spółka @totalizator_sp; która finansuje przedsięwzięcie; nie podpisała jeszcze umowy z miastem

#szpital #Radom #koronawirus #COVID19
https://t.co/RE9IyKehaN"
20,Wed Jan 20 07:34:09 +0000 2021,"MZDiK: Kolejarze zamkną wiadukt na Gołębiowie; więc linia 21 nadal ma objazd [KOMUNIKAT]

https://t.co/cu1D5gqBGb

#radom #radom24 https://t.co/SiiUPtCDcK"
21,Wed Jan 20 07:29:43 +0000 2021,Czas na drugą fotkę @MICHALESISZ #michallesisz #zdjecie #fotka #2021year #sweetselfie #radom #sroda #styczen #milegodnia #udanegodnia #Polska #Polish #poland #ja https://t.co/Zvdd3HjlFf
22,Tue Jan 19 19:26:25 +0000 2021,"#Radomiak #Radom 

Link do strony na Facebooku 
https://t.co/TlBrEt7aEn

Link do zrzutki 
https://t.co/Jq7fsJja34 https://t.co/T6Dc97EGhm"
23,Tue Jan 19 14:04:56 +0000 2021,"Na Glinicach powstaje nowa sala gimnastyczna: https://t.co/mDGGIZymyF

#radom #radom24 https://t.co/7xgpjZ90bQ"
24,Tue Jan 19 13:15:03 +0000 2021,"Słabe fundamenty pod trybuną przyczyną wstrzymania prac na stadionie #RadomskieCentrumSportu. – Konstruktor szuka sposobu na ich wzmocnienie – mówi Michał Podlewski z Miejskiego Ośrodka Sportu w Radomiu; który prowadzi inwestycję

Więcej: https://t.co/DoKyM7jElO

#Radom https://t.co/eJvs6DCyic"
25,Tue Jan 19 12:04:50 +0000 2021,"Słabe fundamenty pod trybuną przyczyną wstrzymania prac na stadionie #RadomskieCentrumSportu. – Konstruktor szuka sposobu na ich wzmocnienie – mówi Michał Podlewski z Miejskiego Ośrodka Sportu w Radomiu; który prowadzi inwestycję

Więcej: https://t.co/DoKyM7jElO

#Radom https://t.co/eJvs6DCyic"
26,Tue Jan 19 10:58:18 +0000 2021,"Brakuje zapasów niemal każdej grupy krwi. Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Radomiu apeluje o zgłaszanie się do punktów pobrań.

https://t.co/jzYdRyPREk

#Krew #Radom"
27,Tue Jan 19 08:47:03 +0000 2021,"Radomscy policjanci zatrzymali 19-latka; który kierował pod wpływem alkoholu i spowodował kolizję. Do jego samochodu były przywiązane sanki.

https://t.co/DaH9v1lYeF

#Policja #Radom"
28,Tue Jan 19 07:53:49 +0000 2021,"Mocna Rozmowa: Radosław Fogiel [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct był @radekfogiel; poseł i wicerzecznik PiS.

https://t.co/tCnYGJ1tBd

#radom #radom24"
29,Tue Jan 19 07:49:42 +0000 2021,"Szczepienia w radomskich Domach Pomocy Społecznej: https://t.co/C9wfFpzzYL

#radom #radom24 https://t.co/wUaJ80YFVn"
30,Tue Jan 19 07:36:52 +0000 2021,"KIEROWCO! Widzisz pługopiaskarkę? 
- Jeśli to możliwe zjedź na pobocze.
- Nie blokuj zatok autobusowych; gdyż one także muszą być odśnieżone. 
- Zachowaj bezpieczny #odstęp za pługopiaskarką!
foto: #mzdik #radom https://t.co/J69xs3T1ZC"
31,Tue Jan 19 07:25:50 +0000 2021,"KIEROWCO! Widzisz pługopiaskarkę? 
- Jeśli to możliwe zjedź na pobocze.
- Nie blokuj zatok autobusowych; gdyż one także muszą być odśnieżone. 
- Zachowaj bezpieczny #odstęp za pługopiaskarką!
foto: #mzdik #radom https://t.co/J69xs3T1ZC"
