,date,text
0,Thu Jan 21 09:51:36 +0000 2021,"To prawda; że niby od lutego wracamy do szkół? Bo moja nauczycielka chyba wierzy w fake news
#szkoła #koronawirus #zdalne #kwarantanna #covid"
1,Thu Jan 21 09:51:36 +0000 2021,"To prawda; że niby od lutego wracamy do szkół? Bo moja nauczycielka chyba wierzy w fake news
#szkoła #koronawirus #zdalne #kwarantanna #covid"
2,Thu Jan 21 08:41:51 +0000 2021,W @jsw_sa odnotowano dziś jeden przypadek zarażenia #koronawirus.em - w #KWK #Pniówek. Od początku #epidemia zainfekowanych zostało 4600 pracowników #JSW; wyzdrowiało 4589 osób. Na #kwarantanna przebywa 59 osób.
3,Thu Jan 21 08:37:29 +0000 2021,W @jsw_sa odnotowano dziś jeden przypadek zarażenia #koronawirus.em - w #KWK #Pniówek. Od początku #epidemia zainfekowanych zostało 4600 pracowników #JSW; wyzdrowiało 4589 osób. Na #kwarantanna przebywa 59 osób.
4,Thu Jan 21 07:04:20 +0000 2021,Bardzo proszę o re-tweety 😊 Musimy wytrwać! #Kwarantanna jest spoko. #COVID #pandemia #GrzegorzWarszawa  https://t.co/WVSpD3sZ3D
5,Wed Jan 20 14:04:12 +0000 2021,"Przestępcy; podszywając się pod urzędników sanepidu; wyłudzają wrażliwe dane. Mówią np. o #kwarantanna.⛔️@Eksperci_WSB radzą; co zrobić.

https://t.co/VKnEqqo2Yd"
6,Wed Jan 20 13:32:14 +0000 2021,Nu online! Steffie legt alles over corona begrijpelijk uit in het Pools. Witamy na tej stronie internetowej! Wytłumaczę Ci tu wszystko na temat koronawirusa. https://t.co/LRS5jpvJTY #inclusie #polskie #Holandia #środki #kwarantanna #zimne skargi https://t.co/rRNtJaA1y6 https://t.co/ofIrIPVhD5
7,Wed Jan 20 10:44:33 +0000 2021,Powstaje ogromny obóz kwarantanny #WHO #kwarantanna #wuhan #koronawirus https://t.co/MIOURcBEy1
8,Wed Jan 20 07:24:31 +0000 2021,"#Chiny błyskawicznie budują ośrodek #kwarantanna dla ponad 4 tys. osób w prowincji #Hebei #COVID19 #koronawirus #SARS_CoV_2

https://t.co/l9WYLHWvpZ"
9,Wed Jan 20 07:20:00 +0000 2021,"#Chiny błyskawicznie budują ośrodek #kwarantanna dla ponad 4 tys. osób w prowincji #Hebei #COVID19 #koronawirus #SARS_CoV_2

https://t.co/l9WYLHWvpZ"
10,Wed Jan 20 06:56:22 +0000 2021,W @jsw_sa nie odnotowano dziś nowych przypadków zarażenia #koronawirus.em. Od początku #epidemia  zainfekowanych zostało 4599 pracowników #JSW; do dziś wyzdrowiało 4588 osób. Na #kwarantanna przebywa 50 osób.
11,Tue Jan 19 18:06:38 +0000 2021,"Niedawno ktoś wpadł na pomysł; jak dobrze wykorzystać czas kwarantanny...
zacznij czytać Biblię!
A tu masz CHALLENGE; więc pobierz plik i do dzieła 😎✌️
#CzytamBiblię @Megakosciol #IPPTV #kwarantanna #COVID19 #koronawirus @PawelChojecki 
@olgagazda RT!
https://t.co/RKWSg305zl"
12,Tue Jan 19 15:03:50 +0000 2021,"Niedawno ktoś wpadł na pomysł; jak dobrze wykorzystać czas kwarantanny...
zacznij czytać Biblię!
A tu masz CHALLENGE; więc pobierz plik i do dzieła 😎✌️
#CzytamBiblię @Megakosciol #IPPTV #kwarantanna #COVID19 #koronawirus @PawelChojecki 
@olgagazda RT!
https://t.co/RKWSg305zl"
13,Tue Jan 19 13:58:00 +0000 2021,"Przestępcy; podszywając się pod urzędników sanepidu; wyłudzają wrażliwe dane. Mówią np. o #kwarantanna.⛔️@Eksperci_WSB radzą; co zrobić.

https://t.co/VKnEqqo2Yd"
14,Tue Jan 19 10:00:20 +0000 2021,"Kwarantanna po przyjeździe do Polski 

►► https://t.co/WyWvMDK0Dg 

#podroze #kolej #kwarantanna #COVID #COVID19 #COVIDー19"
15,Tue Jan 19 07:57:31 +0000 2021,W @jsw_sa odnotowano dziś 1 nowy przypadek zarażenia #koronawirus.em - w #kopalnia #Budryk. Od początku #epidemia zainfekowanych zostało 4599 pracowników #JSW; do dziś wyzdrowiało 4588 osób. Na #kwarantanna przebywają 44 osoby.
16,Tue Jan 19 07:55:44 +0000 2021,W @jsw_sa odnotowano dziś 1 nowy przypadek zarażenia #koronawirus.em - w #kopalnia #Budryk. Od początku #epidemia zainfekowanych zostało 4599 pracowników #JSW; do dziś wyzdrowiało 4588 osób. Na #kwarantanna przebywają 44 osoby.
17,Mon Jan 18 14:46:38 +0000 2021,"Prezydent #Tanzania ogłosił w maju; że Tanzania padła ofiarą sabotażu wt #koronawirus i wycofał #testy z Zach; ogłaszając kraj wolnym od #covid19.
Efekt?
Turystyka kwitnie; bo brak #pandemia; każdy może przylecieć; nie ma #kwarantanna po powrocie z Tanzanii.
I Świat to honoruje. https://t.co/HbRNbWw5kT"
18,Mon Jan 18 07:51:05 +0000 2021,W @jsw_sa kolejny dzień bez nowych przypadków zarażenia #koronawirus.em. Od początku #epidemia zainfekowanych zostało 4598 pracowników #JSW; do dziś wyzdrowiało 4586 osób. Na #kwarantanna przebywa 40 osób.
19,Mon Jan 18 07:37:22 +0000 2021,Mam mieć dziś wizytę u lekarza. Mieszka w Anglii; przyjmuje też w Polsce. Dziś tu wylądował; ale nasze polskie szczepionki są lepsze od angielskich i tamte u nas się nie liczą. Ma kwarantannę. Gdzie logika?? Chory kraj. #kwarantanna #PiS
20,Mon Jan 18 07:31:57 +0000 2021,W @jsw_sa kolejny dzień bez nowych przypadków zarażenia #koronawirus.em. Od początku #epidemia zainfekowanych zostało 4598 pracowników #JSW; do dziś wyzdrowiało 4586 osób. Na #kwarantanna przebywa 40 osób.
21,Sun Jan 17 11:23:35 +0000 2021,tyle w temacie wiarygodnosci #sanepid; srandemii i testow :) #kronawirus #lockdown #polska #maseczki #pis #czarnek #tusk #polska #wtylewizji #pilne #wieszwiecej #minela8 #testy #Covid_19 #PCR #kwarantanna https://t.co/HtmvvPItIt
22,Sun Jan 17 11:16:34 +0000 2021,tyle w temacie wiarygodnosci #sanepid; srandemii i testow :) #kronawirus #lockdown #polska #maseczki #pis #czarnek #tusk #polska #wtylewizji #pilne #wieszwiecej #minela8 #testy #Covid_19 #PCR #kwarantanna https://t.co/HtmvvPItIt
23,Sun Jan 17 08:16:40 +0000 2021,tyle w temacie wiarygodnosci #sanepid; srandemii i testow :) #kronawirus #lockdown #polska #maseczki #pis #czarnek #tusk #polska #wtylewizji #pilne #wieszwiecej #minela8 #testy #Covid_19 #PCR #kwarantanna https://t.co/HtmvvPItIt
24,Sat Jan 16 08:14:16 +0000 2021,Nu online! Steffie legt alles over corona begrijpelijk uit in het Pools. Witamy na tej stronie internetowej! Wytłumaczę Ci tu wszystko na temat koronawirusa. https://t.co/LRS5jpvJTY #inclusie #polskie #Holandia #środki #kwarantanna #zimne skargi https://t.co/rRNtJaA1y6 https://t.co/ofIrIPVhD5
25,Fri Jan 15 17:49:51 +0000 2021,Nu online! Steffie legt alles over corona begrijpelijk uit in het Pools. Witamy na tej stronie internetowej! Wytłumaczę Ci tu wszystko na temat koronawirusa. https://t.co/LRS5jpvJTY #inclusie #polskie #Holandia #środki #kwarantanna #zimne skargi https://t.co/rRNtJaA1y6 https://t.co/ofIrIPVhD5
26,Fri Jan 15 17:13:06 +0000 2021,Szukam różnic #kwarantanna vs #celibat
27,Fri Jan 15 16:40:11 +0000 2021,"Sąd: sama styczność z chorym na #COVID  to za mało do nałożenia #kwarantanna
https://t.co/T4wNJBYFxw"
28,Fri Jan 15 16:28:15 +0000 2021,"Sąd: sama styczność z chorym na #COVID  to za mało do nałożenia #kwarantanna
https://t.co/T4wNJBYFxw"
29,Fri Jan 15 13:44:06 +0000 2021,Nu online! Steffie legt alles over corona begrijpelijk uit in het Pools. Witamy na tej stronie internetowej! Wytłumaczę Ci tu wszystko na temat koronawirusa. https://t.co/LRS5jpvJTY #inclusie #polskie #Holandia #środki #kwarantanna #zimne skargi https://t.co/rRNtJaA1y6 https://t.co/ofIrIPVhD5
30,Fri Jan 15 07:07:24 +0000 2021,W @jsw_sa nie odnotowano dziś nowych przypadków zarażenia #koronawirus.em. Od początku wystąpienia epidemii łącznie zainfekowanych zostało 4598 pracowników; do dziś wyzdrowiały 4583 osoby. #Kwarantanna to obecnie 47 osób
