,date,text
0,Wed Jan 13 16:20:27 +0000 2021,"W piątek rozpoczną się zapisy na szczepienia przeciwko #COVID19 dla osób w wieku 80+; tydzień później 70+. W poniedziałek zaszczepieni zostaną pensjonariusze Domów Pomocy Społecznej. Tego samego dnia do szkół wrócą uczniowie klas I-III
https://t.co/plbH00KJbu"
1,Wed Jan 13 16:20:27 +0000 2021,"W piątek rozpoczną się zapisy na szczepienia przeciwko #COVID19 dla osób w wieku 80+; tydzień później 70+. W poniedziałek zaszczepieni zostaną pensjonariusze Domów Pomocy Społecznej. Tego samego dnia do szkół wrócą uczniowie klas I-III
https://t.co/plbH00KJbu"
2,Wed Jan 13 16:18:55 +0000 2021,"Wasze narty są ważniejsze niż Nasze?
#Emilewicz #narty #zamknieteStoki #COVID19 https://t.co/7briwSv5ME"
3,Wed Jan 13 16:18:18 +0000 2021,"Premier Morawiecki już w kwietniu mówił; że czeka nas ""nowa normalność""; do której będziemy musieli przywyknąć. Coraz dokładniej widzimy na czym ma to polegać. Dziś premier i minister zdrowia zaprezentowali plan oficjalnie nazwany Narodowym Programem Szczepień przeciw #COVID19. https://t.co/flaVl676CD"
4,Wed Jan 13 16:12:30 +0000 2021,"Są 3 sposoby rejestracji na szczepienia przeciwko #COVID19:

✅telefonicznie
✅elektronicznie
✅bezpośrednio w punkcie.

Na razie rejestrować się będą mogły osoby w wieku 70+. Młodsi od 15 stycznia mogą zgłaszać chęć szczepienia.

Szczegóły ⬇️⬇️⬇️
https://t.co/oBYbeeDijv"
5,Wed Jan 13 16:12:02 +0000 2021,"Mogę jej życzyć #COVID19 z nieprzyjemnym przebiegiem? Mogę? 
Powiedzcie; że mogę! https://t.co/2PACucthZC"
6,Wed Jan 13 16:10:56 +0000 2021,"Wasze narty są ważniejsze niż Nasze?
#Emilewicz #narty #zamknieteStoki #COVID19 https://t.co/7briwSv5ME"
7,Wed Jan 13 16:08:12 +0000 2021,"#TVPInfo | #KalendarzSzczepień. 🗓 💉

🔶 15 stycznia zostanie otwarta rejestracja na szczepienie przeciw #COVID19 dla osób 80+

🔶 22 stycznia zostanie otwarta rejestracja na szczepienie przeciw #COVID19 dla osób 70+

#SzczepimySię https://t.co/wDxaJwAKB7"
8,Wed Jan 13 16:06:06 +0000 2021,"Sprzedam bilet na sosów do Pragi maj 2021!!!
Sprzedam za około 250zł (mogę obniżyć cenę)
+ więcej info na DM ❤️ #noshametourkrakow #noshametourpraga #COVID19 #5SOS #tweetme #tweetmekurwa #sprzedam #kupie #koronawirus #noshame"
9,Wed Jan 13 16:05:56 +0000 2021,Chaotyczne i nieprzemyślane działania; zamiast konkretnej strategii popartej analizami. Tak nie wygramy z koronawirusem. Zanim wyśle się dzieci do szkół; trzeba zaszczepić nauczycieli. To kwestia bezpieczeństwa!  #Szkoła #COVID19 #Szczepienia https://t.co/Mnii5cK96I
10,Wed Jan 13 16:05:37 +0000 2021,"Sprzedam bilet na sosów do Pragi maj 2021!!!
Sprzedam za około 250zł (mogę obniżyć cenę)
+ więcej info na DM ❤️ #noshametourkrakow #noshametourpraga #COVID19 #5SOS #tweetme #tweetmekurwa #sprzedam #kupie #koronawirus #noshame"
11,Wed Jan 13 16:04:45 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
12,Wed Jan 13 16:04:43 +0000 2021,Zanim otworzycie szkoły; zaszczepcie nauczycieli! CAŁOŚĆ: https://t.co/0NF2UeoVZ1 #szczepimysie #COVID19 #szczepionki #szkoła #niedzielski @michaldworczyk @a_niedzielski https://t.co/jhbtEvUtbF
13,Wed Jan 13 16:04:04 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
14,Wed Jan 13 16:03:40 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
15,Wed Jan 13 16:00:11 +0000 2021,"#COVID19  #Wakacje2021
jeśli nie należysz do pisowskiej elylty... https://t.co/qO15yyv3ss"
16,Wed Jan 13 16:00:10 +0000 2021,@Jola64471230 @bomardierbeetle @xenosstinkriti Ja wiem wszystkiemu winien PiS;temu że #COVID19 świat opanował też;przede wszystkim;winien PiS.
17,Wed Jan 13 15:56:51 +0000 2021,"Według ""specjalistów"" z WHO szczepienie przeciw #COVID19 w wariancie optymistycznym trzeba będzie powtarzać co 2 lata; a w pesymistycznym co roku."
18,Wed Jan 13 15:55:53 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
19,Wed Jan 13 15:54:54 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
20,Wed Jan 13 15:53:22 +0000 2021,"#COVID19  #Wakacje2021
jeśli nie należysz do pisowskiej elylty... https://t.co/qO15yyv3ss"
21,Wed Jan 13 15:52:39 +0000 2021,"Po pozytywnej opinii @EMA_News i pozwoleniu na dopuszczenie do obrotu pierwsze dawki szczepionki @moderna_tx przeciwko #COVID19 docierają do wszystkich krajów #UE. Do Polski trafiły już szczepionki Moderny.

#SafeVaccines #VacicinesWork #StrongerTogether https://t.co/LVSziDpED6"
22,Wed Jan 13 15:52:04 +0000 2021,"Ponieważ nasze hotele są zamknięte; więc Pan Poseł Piecha z PIS postanowił wesprzeć turystykę Kuby. 
#imSięToNależało #COVID19"
23,Wed Jan 13 15:51:56 +0000 2021,"Dziś @michaldworczyk zapowiedział; że rozporządzenie dokładnie regulujące kolejność  szczepionych grup zostanie opublikowane ""w ciągu najbliższych kilkunastu godzin"" @rynekzdrowia 
#COVID19 #SzczepimySię #szczepienia https://t.co/QjjaMQryuZ"
24,Wed Jan 13 15:51:54 +0000 2021,#Nauczyciele zostaną zaszczepieni; gdy pojawi się większa liczba szczepionek. Czy nastąpi to na początku drugiego kwartału; czy wcześniej trudno powiedzieć. Najpierw szczepimy osoby starsze; jako najbardziej zagrożone zachorowaniem na #COVID19 - @michaldworczyk @rynekzdrowia https://t.co/dp10NgQFph
25,Wed Jan 13 15:50:50 +0000 2021,"10:00-12:00; jedyny czas w ciagu dnia; gdy człowiek żałuje; że nie jest starszy. 😉
#COVID19"
26,Wed Jan 13 15:50:04 +0000 2021,"Dziś @michaldworczyk zapowiedział; że rozporządzenie dokładnie regulujące kolejność  szczepionych grup zostanie opublikowane ""w ciągu najbliższych kilkunastu godzin"" @rynekzdrowia 
#COVID19 #SzczepimySię #szczepienia https://t.co/QjjaMQryuZ"
27,Wed Jan 13 15:48:51 +0000 2021,"Wasze narty są ważniejsze niż Nasze?
#Emilewicz #narty #zamknieteStoki #COVID19 https://t.co/7briwSv5ME"
28,Wed Jan 13 15:48:08 +0000 2021,"@PAPinformacje @MZ_GOV_PL Sekcja zwłok (łac. sectio: cięcie; rozcięcie); autopsja (gr. autopsia: zobaczyć na własne oczy) – badanie pośmiertne (łac. post mortem); którego celem jest najczęściej ustalenie przyczyny zgonu. Myślę; że te liczby to na oko się podaje
#covid19"
