,date,text
0,Sat Dec 26 21:01:31 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
1,Sat Dec 26 21:01:31 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
2,Fri Dec 25 22:33:17 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
3,Fri Dec 25 21:39:12 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
4,Fri Dec 25 21:39:12 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
5,Fri Dec 25 22:33:17 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
6,Fri Dec 25 21:39:12 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
7,Fri Dec 25 21:39:12 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
8,Fri Dec 25 21:39:12 +0000 2020,Miałbyć cringe; więc jest cringe... moje #Hot16Challange. Dzięki za wszystko @artuditu___. Patrzę się na was @Hubert_LNF1 @NiewinskiK @ZapKarol @majkel_lfc 👀 https://t.co/JScQFY5pin
