,date,text
0,Wed Dec 30 14:19:37 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
1,Wed Dec 30 14:19:37 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
2,Wed Dec 30 14:03:07 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
3,Wed Dec 30 13:55:13 +0000 2020,Nie odpuszczamy. Marszalek @StruzikAdam  złożył 3 wnioski do Rządowego Funduszu Inwestycji Lokalnych - na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Zaapelował też do posłów z #Mazowsze o zaangażowanie https://t.co/zXvLQejUHd
4,Wed Dec 30 13:47:22 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
5,Wed Dec 30 13:46:30 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
6,Wed Dec 30 13:44:59 +0000 2020,Znów walczymy o środki z Rządowego Funduszu Inwestycji Lokalnych. Tym razem na budowę SOR-u w #Radom; budowę ośrodka radioterapii w #Płock oraz modernizację szpitala w #Siedlce oddział #RUDKA. Nie wyobrażam sobie; aby strona rządowa po raz kolejny zignorowała potrzeby #Mazowsze https://t.co/MacV6Ah3gR
7,Wed Dec 30 08:27:13 +0000 2020,Czas na drugą fotkę @MICHALESISZ #michallesisz #mojemiasto #radom #mojpokoj #mojdom #zdjecie #fotka #sroda #2020 #ja #sweetselfie #selfie #polska #polish #poland https://t.co/vgsv0dGZuj
8,Wed Dec 30 07:48:37 +0000 2020,"Mocna Rozmowa: Rafał Rajkowski [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct był Rafał Rajkowski; wicemarszałek woj. mazowieckiego.

https://t.co/rLiixZQ1fv

#radom #radom24"
9,Wed Dec 30 07:43:17 +0000 2020,"Solec nad Wisłą od 1 stycznia znów będzie miastem: https://t.co/nh2oblNQff

#radom #radom24 https://t.co/GkksDPQMRW"
