,date,text
0,Wed Jan 13 13:04:48 +0000 2021,"Synoptycy zapowiadają; że w nocy będzie ślisko. Temperatura spadnie poniżej zera.

https://t.co/IIhqZlybWf

#Radomskie #Radom #IMGW"
1,Wed Jan 13 13:04:48 +0000 2021,"Synoptycy zapowiadają; że w nocy będzie ślisko. Temperatura spadnie poniżej zera.

https://t.co/IIhqZlybWf

#Radomskie #Radom #IMGW"
2,Wed Jan 13 11:44:34 +0000 2021,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artyku: Prokurator chce pisemnego uzasadnienia wyroku ws. Jerzego E. juniora. Będzie znów kasacja? https://t.co/AumF20umml #korupcja #sport #PZPN #futbol #JerzyEjunior #Radomiak #Radom #RadomiakRadom
3,Wed Jan 13 10:14:35 +0000 2021,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artyku: Prokurator chce pisemnego uzasadnienia wyroku ws. Jerzego E. juniora. Będzie znów kasacja? https://t.co/AumF20umml #korupcja #sport #PZPN #futbol #JerzyEjunior #Radomiak #Radom #RadomiakRadom
4,Wed Jan 13 10:14:16 +0000 2021,Ostatniej doby na #blogpiłkarskamafia najchętniej czytaliście artyku: Prokurator chce pisemnego uzasadnienia wyroku ws. Jerzego E. juniora. Będzie znów kasacja? https://t.co/AumF20umml #korupcja #sport #PZPN #futbol #JerzyEjunior #Radomiak #Radom #RadomiakRadom
5,Wed Jan 13 09:15:01 +0000 2021,"#Zima ucieszyła mieszkańców #Radom.ia. 
https://t.co/9rzjhXfKs0"
6,Wed Jan 13 08:03:55 +0000 2021,"Mocna Rozmowa: Mateusz Tyczyński [WIDEO]

Gościem w programie ""Mocna Rozmowa"" w https://t.co/L4Rdtmrmct był Mateusz Tyczyński; wiceprezydent Radomia.

https://t.co/uxNiqjdjjm

#radom #radom24"
7,Wed Jan 13 07:49:52 +0000 2021,"Przenośne aparaty RTG trafiły do szpitali w Radomiu i regionie radomskim: https://t.co/xDP4BgBu9a

#radom #radom24 https://t.co/OQFViLwTgl"
8,Wed Jan 13 07:31:49 +0000 2021,I komu to przeszkadzało? #radom #1984 https://t.co/UlzH4MB38d
9,Wed Jan 13 07:13:27 +0000 2021,Pora na drugą foteczke @MICHALESISZ #michallesisz #milegodnia #zdjecie #fotka #mojpokoj #mojdom #mojemiasto #radom #styczen #2021 #udanegodnia #sroda #ja https://t.co/O31eD36M68
10,Tue Jan 12 22:25:41 +0000 2021,I komu to przeszkadzało? #radom #1984 https://t.co/UlzH4MB38d
11,Tue Jan 12 22:18:36 +0000 2021,I komu to przeszkadzało? #radom #1984 https://t.co/UlzH4MB38d
12,Tue Jan 12 18:58:36 +0000 2021,#Radom Streetworkerzy docierają z gorącą zupą do bezdomnych  https://t.co/RfixThNZPv
13,Tue Jan 12 17:46:33 +0000 2021,"#WieszTy 
Nowe informacje o drodze #S12 #Radom #Puławy 
 S7 #Grójec #Warszawa a także o #DK9 Radom #Iłża #Rzeszow. Ile lat będziemy czekać jeszcze na S12 do Radomia

Proszę o #RT; podajcie dalej

cz.1 https://t.co/KZb5mPwyds"
