,date,text
0,Tue Jan 05 23:23:51 +0000 2021,"Rafał z królowych życia nie jest już z Gabrielem i niby ma dziewczynę... jakoś w to nie wierze; ale życzę szczęścia 
#gabrielirafał #krolowezycia"
1,Tue Jan 05 23:23:51 +0000 2021,"Rafał z królowych życia nie jest już z Gabrielem i niby ma dziewczynę... jakoś w to nie wierze; ale życzę szczęścia 
#gabrielirafał #krolowezycia"
2,Wed Dec 30 16:26:38 +0000 2020,Lambadziary; a nie królowe... #KróloweŻycia https://t.co/uJcveFpQaP
3,Wed Dec 30 16:26:38 +0000 2020,Lambadziary; a nie królowe... #KróloweŻycia https://t.co/uJcveFpQaP
4,Wed Dec 30 16:26:38 +0000 2020,Lambadziary; a nie królowe... #KróloweŻycia https://t.co/uJcveFpQaP
5,Wed Dec 30 16:26:38 +0000 2020,Lambadziary; a nie królowe... #KróloweŻycia https://t.co/uJcveFpQaP
